DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
-999,10/12/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/13/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/14/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/15/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
15,10/16/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
9.5,10/17/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/18/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,10/19/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/20/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/21/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
2.7,10/22/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/23/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/24/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/25/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/26/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0,10/27/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/28/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/29/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/30/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,10/31/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,11/01/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,11/02/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,11/03/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
0.5,11/04/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
65.5,11/05/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
-999,11/06/1990 00:00:00,7,SONGLUY,RF,,1,,Manual
